objectid,title,format,filename,date,subject,location,latitude,longitude,description
item1,The Attack,image/png,Page3 The Attack.png,1900-01-00,waterford ponds; lily pads; long grass; mud; trees; log,waterford on,42.933228,-80.299254,A park in the city
item2,The Defeat,image/png,Page4 The Defeat.png,1884-00-00,waterford ponds; park bench; trees; grass,waterford on,42.933228,-80.299254,A park in the city
item3,A Bird,image/png,Page32 A Bird.png,2018-07-07,waterford ponds; lily pads; long grass; trees; log; houses,waterford on,42.933228,-80.299254,A park in the city
item4,Eyes Which Never Close,image/png,Page39 Eyes Which Never Close.png,1859-08-22,waterford ponds; park bench; trees; grass,waterford on,42.933228,-80.299254,A park in the city
item5,In Memoriam,image/png,Page50 IN MEMORIAM.png,2018-07-07,waterford ponds; lily pads; long grass; mud; trees; log; greg; pollee,waterford on,42.933228,-80.299254,A park in the city
item6,The Boy and The Dog,image/png,Page93 The Boy and The Dog.png,,,,,,
item7,Two Birds,image/png,Page97 Two Birds.png,,,,,,
item8,The Howling Dog,image/png,Page120 The Howling Dog.png,,,,,,
item9,The Pained Face Horse,image/png,Page129 The Pained Face Horse.png,,,,,,
item10,A Shaky Hand,image/jpg,A shaky Hand.jpg,1931-03-28,,,,,
item11,Bunny Ears,image/jpg,Bunny Ears.jpg,1936-08-16,,,,,
item12,Help,image/jpg,Help.jpg,1936-08-16,,,,,
item13,Marry Harry,image/jpg,Marry Harry.jpg,1926-03-18,,,,,
item14,Mrs Hill,image/jpg,Mrs Hill.jpg,1926-07-22,,,,,
item15,The Last Page,image/jpg,The Last Page.jpg,1937-02-07,,,,,
item16,The  True Last Page,image/jpg,The True Last Page.jpg,1937-09-22,,,,,
